work_id,canonical_title,original_bengali_title,publication,publication_date,rights_status,publication_status,source_id,notes
zea-2026-07-18-sangbad-11418,"হাড্ডি আমার, মাংস আপনার","হাড্ডি আমার, মাংস আপনার",সংবাদ,2026-07-18,full_text_permitted,published,source-sangbad-11418,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-07-25-sangbad-11975,"আবারও কি ভাঙছে পাকিস্তান","আবারও কি ভাঙছে পাকিস্তান",সংবাদ,2026-07-25,full_text_permitted,published,source-sangbad-11975,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-08-01-sangbad-12677,"তেলাপোকা ফিরেছে, কারণ ক্ষত শুকায়নি","তেলাপোকা ফিরেছে, কারণ ক্ষত শুকায়নি",সংবাদ,2026-08-01,full_text_permitted,published,source-sangbad-12677,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-08-08-sangbad-13399,"গানে গানে গগনভেদী প্রতিবাদ","গানে গানে গগনভেদী প্রতিবাদ",সংবাদ,2026-08-08,full_text_permitted,published,source-sangbad-13399,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-08-15-sangbad-14301,"অর্থনীতির লাশের ওপর রাজনীতির উৎসব","অর্থনীতির লাশের ওপর রাজনীতির উৎসব",সংবাদ,2026-08-15,full_text_permitted,published,source-sangbad-14301,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-08-22-sangbad-14979,"ভাস্কর্যের মুখ থাকবে নাকি থাকবে না","ভাস্কর্যের মুখ থাকবে নাকি থাকবে না",সংবাদ,2026-08-22,full_text_permitted,published,source-sangbad-14979,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-08-29-sangbad-15800,"জঙ্গিবাদ নিয়ে জাতিসংঘের উদ্বেগ","জঙ্গিবাদ নিয়ে জাতিসংঘের উদ্বেগ",সংবাদ,2026-08-29,full_text_permitted,published,source-sangbad-15800,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-09-05-sangbad-16588,"নিরাপত্তা জোটে যোগ দেওয়ার আগে চাই স্বার্থের নির্মোহ হিসাব","নিরাপত্তা জোটে যোগ দেওয়ার আগে চাই স্বার্থের নির্মোহ হিসাব",সংবাদ,2026-09-05,full_text_permitted,published,source-sangbad-16588,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-09-12-sangbad-17258,"বোয়িং কেনার রাজনীতি","বোয়িং কেনার রাজনীতি",সংবাদ,2026-09-12,full_text_permitted,published,source-sangbad-17258,"Full authorized article imported; advertisements and unrelated source-page elements removed."
zea-2026-09-19-sangbad-18013,"ব্রিকস সম্মেলন ও বাংলাদেশের কূটনৈতিক হিসাব","ব্রিকস সম্মেলন ও বাংলাদেশের কূটনৈতিক হিসাব",সংবাদ,2026-09-19,full_text_permitted,published,source-sangbad-18013,"Full authorized article imported; source presentation cleaned of advertisements and recommendation panels. Hero image uses the approved Wikimedia Commons asset."
